,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegionNum
32,2009-01-02,12.948461278322625,22.8,0.0,9.4,10.0,31.0,28.0,79.0,77.0,1014.5,1011.1,8.0,1.0,19.8,21.8,0,0,2009,1,2,36,5.890486225480862,5.890486225480862,-35.0247822,117.883608,5
33,2009-01-03,17.8,21.5,0.4,8.0,8.5,19.0,19.0,72.0,71.0,1017.1,1016.7,7.0,7.0,19.2,20.8,0,0,2009,1,3,36,5.105088062083414,9.42477796076938,-35.0247822,117.883608,5
34,2009-01-04,15.0,24.0,0.0,7.2,13.3,2.0,17.0,77.0,53.0,1020.2,1017.7,2.0,0.0,19.5,24.0,0,0,2009,1,4,36,3.5342917352885173,5.890486225480862,-35.0247822,117.883608,5
35,2009-01-05,15.0,23.5,0.0,7.4,9.9,7.0,20.0,84.0,73.0,1018.2,1014.9,1.0,1.0,19.6,22.4,0,0,2009,1,5,36,5.497787143782138,1.5707963267948966,-35.0247822,117.883608,5
36,2009-01-06,18.9,23.0,0.0,7.8,2.9,4.0,24.0,75.0,83.0,1018.5,1017.2,7.0,8.0,19.8,19.8,0,0,2009,1,6,36,9.42477796076938,5.105088062083414,-35.0247822,117.883608,5
37,2009-01-07,16.5,23.0,0.0,5.6,11.7,9.0,26.0,56.0,53.0,1021.0,1018.3,7.0,2.0,18.8,21.0,0,0,2009,1,7,36,0.3926990816987241,5.890486225480862,-35.0247822,117.883608,5
38,2009-01-08,17.7,22.2,0.0,9.2,11.6,20.0,30.0,73.0,76.0,1020.5,1018.5,7.0,4.0,20.2,21.5,0,0,2009,1,8,36,0.0,5.890486225480862,-35.0247822,117.883608,5
39,2009-01-09,17.9,23.5,0.0,7.2,12.9,15.0,26.0,74.0,74.0,1020.1,1017.7,6.0,2.0,21.5,22.0,0,0,2009,1,9,36,5.890486225480862,5.890486225480862,-35.0247822,117.883608,5
40,2009-01-10,15.0,23.5,0.0,8.0,12.4,6.0,19.0,72.0,70.0,1015.8,1015.1,2.0,3.0,20.0,22.5,0,0,2009,1,10,36,1.1780972450961724,4.319689898685965,-35.0247822,117.883608,5
41,2009-01-11,15.5,28.3,0.0,7.4,13.5,7.0,26.0,73.0,71.0,1012.4,1006.4,2.0,1.0,21.2,24.5,0,0,2009,1,11,36,1.1780972450961724,5.890486225480862,-35.0247822,117.883608,5
42,2009-01-12,16.1,25.7,0.0,8.0,6.6,6.0,30.0,79.0,75.0,1005.5,1007.5,1.0,8.0,22.0,21.0,0,1,2009,1,12,36,2.748893571891069,3.5342917352885173,-35.0247822,117.883608,5
43,2009-01-13,13.5,20.5,1.2,6.0,10.7,24.0,22.0,72.0,60.0,1016.4,1016.1,7.0,3.0,18.0,20.1,1,0,2009,1,13,36,3.5342917352885173,3.9269908169872414,-35.0247822,117.883608,5
44,2009-01-14,14.4,22.5,0.8,6.2,11.6,6.0,19.0,68.0,53.0,1019.7,1019.5,7.0,1.0,18.5,21.8,0,0,2009,1,14,36,3.141592653589793,4.319689898685965,-35.0247822,117.883608,5
45,2009-01-15,17.0,24.5,0.0,6.8,12.9,7.0,30.0,63.0,63.0,1022.5,1018.5,4.0,1.0,20.8,23.0,0,0,2009,1,15,36,1.1780972450961724,5.890486225480862,-35.0247822,117.883608,5
46,2009-01-16,18.5,31.7,0.0,9.8,13.1,7.0,26.0,63.0,52.0,1015.5,1009.8,0.0,0.0,22.5,29.0,0,0,2009,1,16,36,0.3926990816987241,0.0,-35.0247822,117.883608,5
47,2009-01-17,19.1,22.0,0.0,13.6,7.1,22.0,19.0,74.0,77.0,1018.2,1018.2,6.0,8.0,20.2,20.7,0,0,2009,1,17,36,4.319689898685965,9.42477796076938,-35.0247822,117.883608,5
48,2009-01-18,18.3,19.6,0.0,6.0,0.2,7.0,22.0,70.0,71.0,1020.4,1019.3,8.0,8.0,19.3,18.6,0,0,2009,1,18,36,9.42477796076938,5.105088062083414,-35.0247822,117.883608,5
49,2009-01-19,16.8,20.3,0.2,4.2,6.9,11.0,13.0,57.0,59.0,1021.0,1018.9,8.0,6.0,17.2,19.5,0,0,2009,1,19,36,5.105088062083414,9.42477796076938,-35.0247822,117.883608,5
50,2009-01-20,14.8,22.0,0.0,6.0,6.4,7.0,31.0,68.0,72.0,1018.8,1016.8,8.0,5.0,17.8,21.0,0,0,2009,1,20,36,1.5707963267948966,3.5342917352885173,-35.0247822,117.883608,5
51,2009-01-21,16.0,24.5,0.0,7.6,12.2,6.0,39.0,64.0,67.0,1012.9,1009.8,4.0,7.0,20.0,23.0,0,1,2009,1,21,36,3.5342917352885173,3.5342917352885173,-35.0247822,117.883608,5
52,2009-01-22,17.6,22.7,1.2,8.4,11.2,30.0,37.0,74.0,69.0,1011.5,1009.9,5.0,1.0,19.5,21.8,1,1,2009,1,22,36,3.5342917352885173,3.5342917352885173,-35.0247822,117.883608,5
53,2009-01-23,17.8,20.7,2.8,8.0,10.6,20.0,30.0,91.0,87.0,1010.9,1012.1,8.0,5.0,18.7,20.0,1,0,2009,1,23,36,3.5342917352885173,3.9269908169872414,-35.0247822,117.883608,5
54,2009-01-24,15.5,23.1,0.0,6.8,11.6,6.0,19.0,68.0,63.0,1015.4,1013.8,7.0,0.0,18.4,22.4,0,1,2009,1,24,36,3.5342917352885173,3.9269908169872414,-35.0247822,117.883608,5
55,2009-01-25,17.3,23.0,1.4,7.4,11.2,4.0,24.0,89.0,72.0,1017.2,1014.5,8.0,1.0,18.5,22.0,1,0,2009,1,25,36,1.1780972450961724,5.890486225480862,-35.0247822,117.883608,5
56,2009-01-26,18.5,23.0,0.0,8.0,10.5,9.0,30.0,78.0,82.0,1007.8,1007.8,8.0,6.0,22.0,22.0,0,0,2009,1,26,36,5.890486225480862,3.5342917352885173,-35.0247822,117.883608,5
57,2009-01-27,16.9,21.0,0.8,6.8,1.0,19.0,20.0,73.0,63.0,1012.9,1011.5,8.0,8.0,19.4,20.1,0,0,2009,1,27,36,5.890486225480862,0.0,-35.0247822,117.883608,5
58,2009-01-28,18.0,20.5,0.0,5.0,0.0,19.0,19.0,82.0,76.0,1008.6,1006.8,8.0,8.0,19.2,19.7,0,1,2009,1,28,36,5.105088062083414,5.497787143782138,-35.0247822,117.883608,5
59,2009-01-29,16.0,21.5,5.6,2.4,5.2,15.0,11.0,70.0,52.0,1010.4,1011.0,7.0,6.0,18.2,21.1,1,0,2009,1,29,36,9.42477796076938,4.319689898685965,-35.0247822,117.883608,5
60,2009-01-30,16.5,22.5,0.0,4.8,0.0,19.0,26.0,85.0,65.0,1014.2,1013.0,8.0,8.0,18.5,21.0,0,0,2009,1,30,36,0.0,0.0,-35.0247822,117.883608,5
61,2009-01-31,17.5,24.7,1.0,4.2,12.4,11.0,39.0,70.0,74.0,1013.9,1011.3,7.0,6.0,21.5,23.0,0,0,2009,1,31,36,0.3926990816987241,0.3926990816987241,-35.0247822,117.883608,5
62,2009-02-01,20.2,26.0,0.0,7.8,10.1,6.0,24.0,84.0,74.0,1014.9,1012.7,8.0,1.0,22.0,24.4,0,0,2009,2,1,36,0.7853981633974483,5.890486225480862,-35.0247822,117.883608,5
63,2009-02-02,21.0,25.0,0.0,8.0,9.7,15.0,43.0,84.0,84.0,1013.1,1008.7,6.0,1.0,23.0,23.4,0,0,2009,2,2,36,0.3926990816987241,5.890486225480862,-35.0247822,117.883608,5
64,2009-02-03,20.2,23.0,0.0,8.4,3.6,22.0,19.0,93.0,78.0,1011.2,1011.5,8.0,7.0,20.8,22.5,0,0,2009,2,3,36,3.5342917352885173,3.9269908169872414,-35.0247822,117.883608,5
65,2009-02-04,17.0,21.5,0.4,3.4,7.7,30.0,24.0,77.0,56.0,1015.1,1015.5,8.0,5.0,20.0,20.0,0,0,2009,2,4,36,4.319689898685965,4.319689898685965,-35.0247822,117.883608,5
66,2009-02-05,14.0,22.5,0.0,6.0,7.6,2.0,19.0,71.0,54.0,1014.7,1012.1,6.0,4.0,18.0,22.0,0,0,2009,2,5,36,1.5707963267948966,9.42477796076938,-35.0247822,117.883608,5
67,2009-02-06,12.948461278322625,20.4,0.0,6.0,9.9,0.0,44.0,58.0,58.0,1009.7,1007.3,7.0,6.0,19.2,19.5,0,1,2009,2,6,36,3.1624176048919987,3.5342917352885173,-35.0247822,117.883608,5
68,2009-02-07,14.0,18.8,2.4,8.4,9.9,31.0,26.0,61.0,58.0,1014.1,1016.6,7.0,5.0,17.0,18.0,1,0,2009,2,7,36,3.5342917352885173,3.9269908169872414,-35.0247822,117.883608,5
69,2009-02-08,12.948461278322625,21.2,0.0,5.8,10.6,6.0,20.0,60.0,54.0,1023.3,1022.6,7.0,3.0,17.8,20.0,0,0,2009,2,8,36,0.0,5.890486225480862,-35.0247822,117.883608,5
70,2009-02-09,17.6,22.5,0.0,10.4,6.0,19.0,19.014801915542012,59.0,67.38159031979256,1024.7,1022.9,7.0,5.0,19.5,18.415271786022437,0,0,2009,2,9,36,5.890486225480862,3.7765842736853723,-35.0247822,117.883608,5
71,2009-02-10,17.0,24.5,0.0,7.4,9.7,9.0,31.0,56.0,48.0,1023.7,1020.0,2.0,4.0,20.0,23.0,0,0,2009,2,10,36,1.1780972450961724,5.890486225480862,-35.0247822,117.883608,5
72,2009-02-11,17.0,28.8,0.0,10.8,12.2,17.0,28.0,60.0,55.0,1016.8,1011.8,1.0,2.0,19.7,26.5,0,0,2009,2,11,36,0.3926990816987241,0.0,-35.0247822,117.883608,5
73,2009-02-12,19.0,34.5,0.0,12.4,3.9,9.0,19.0,28.0,50.0,1008.4,1008.3,5.0,7.0,28.8,25.4,0,0,2009,2,12,36,0.7853981633974483,3.5342917352885173,-35.0247822,117.883608,5
74,2009-02-13,17.0,19.8,0.2,6.4,0.0,31.0,31.0,80.0,71.0,1019.4,1019.6,7.0,8.0,17.5,18.5,0,1,2009,2,13,36,9.42477796076938,9.42477796076938,-35.0247822,117.883608,5
75,2009-02-14,12.948461278322625,22.5,2.8,3.4,6.659152677857714,19.0,19.0,84.0,87.0,1017.9,1016.6,8.0,8.0,19.5,20.4,1,1,2009,2,14,36,5.890486225480862,0.0,-35.0247822,117.883608,5
76,2009-02-15,19.0,31.0,1.8,0.0,11.6,6.0,20.0,70.0,79.0,1009.5,1005.3,1.0,0.0,22.0,25.0,1,0,2009,2,15,36,1.1780972450961724,5.890486225480862,-35.0247822,117.883608,5
77,2009-02-16,16.1,22.4,0.0,7.6,11.9,9.0,30.0,84.0,68.0,1010.5,1010.1,7.0,2.0,18.7,21.9,0,0,2009,2,16,36,1.9634954084936207,3.5342917352885173,-35.0247822,117.883608,5
78,2009-02-17,18.2,21.1,0.0,7.6,2.8,19.0,19.0,71.0,72.0,1015.9,1015.8,8.0,5.0,19.4,20.0,0,0,2009,2,17,36,9.42477796076938,5.105088062083414,-35.0247822,117.883608,5
79,2009-02-18,17.8,21.4,0.0,4.0,8.4,15.0,19.0,58.0,53.0,1017.8,1016.7,8.0,2.0,18.5,20.4,0,0,2009,2,18,36,5.497787143782138,5.890486225480862,-35.0247822,117.883608,5
80,2009-02-19,17.4,21.0,0.0,7.6,9.7,15.0,24.0,60.0,58.0,1018.8,1018.1,7.0,1.0,18.5,20.2,0,0,2009,2,19,36,0.0,5.497787143782138,-35.0247822,117.883608,5
81,2009-02-20,17.0,22.0,0.0,7.8,11.6,17.0,28.0,64.0,62.0,1021.6,1019.6,5.0,1.0,19.5,21.5,0,0,2009,2,20,36,0.0,0.0,-35.0247822,117.883608,5
82,2009-02-21,16.6,27.5,0.0,8.2,11.1,9.0,26.0,71.0,70.0,1015.4,1009.7,1.0,4.0,19.7,24.2,0,0,2009,2,21,36,0.0,5.890486225480862,-35.0247822,117.883608,5
83,2009-02-22,18.5,20.4,0.0,8.0,4.3,30.0,17.0,83.0,64.0,1014.6,1016.7,7.0,7.0,18.5,18.2,0,0,2009,2,22,36,4.319689898685965,3.9269908169872414,-35.0247822,117.883608,5
84,2009-02-23,15.2,22.0,0.0,5.6,11.9,15.0,33.0,57.0,60.0,1018.6,1014.4,3.0,1.0,18.0,21.0,0,0,2009,2,23,36,0.3926990816987241,5.890486225480862,-35.0247822,117.883608,5
85,2009-02-24,17.8,25.8,0.0,8.0,1.7,11.0,31.0,78.0,75.0,1003.9,1002.8,5.0,8.0,20.4,22.1,0,0,2009,2,24,36,0.7853981633974483,3.5342917352885173,-35.0247822,117.883608,5
86,2009-02-25,14.5,22.0,0.0,5.4,0.3,7.0,6.0,66.0,90.0,1005.4,1004.1,8.0,8.0,17.0,17.0,0,0,2009,2,25,36,1.1780972450961724,3.141592653589793,-35.0247822,117.883608,5
87,2009-02-26,12.0,18.7,0.0,3.7,1.4,6.0,13.0,78.0,80.0,1013.7,1015.8,8.0,8.0,14.0,17.0,0,1,2009,2,26,36,1.5707963267948966,4.319689898685965,-35.0247822,117.883608,5
88,2009-02-27,13.5,21.1,1.4,3.4,10.7,4.0,19.0,84.0,62.0,1019.2,1016.4,3.0,2.0,15.6,20.0,1,1,2009,2,27,36,0.7853981633974483,5.105088062083414,-35.0247822,117.883608,5
89,2009-02-28,14.6,22.0,6.4,4.0,8.0,6.0,19.0,67.0,73.0,1017.8,1014.7,6.0,6.0,19.0,21.3,1,1,2009,2,28,36,0.3926990816987241,5.890486225480862,-35.0247822,117.883608,5
90,2009-03-01,18.5,24.5,5.4,4.6,3.4,7.0,11.0,87.0,84.0,1009.4,1004.8,6.0,7.0,20.6,22.2,1,1,2009,3,1,36,0.3926990816987241,0.0,-35.0247822,117.883608,5
91,2009-03-02,17.0,18.2,16.4,5.0,6.2,41.0,41.0,81.0,52.0,1006.5,1010.8,7.0,5.0,18.0,17.0,1,0,2009,3,2,36,3.5342917352885173,3.9269908169872414,-35.0247822,117.883608,5
92,2009-03-03,13.3,17.8,0.4,4.6,5.8,17.0,17.0,53.0,52.0,1025.0,1027.2,6.0,7.0,14.6,16.7,0,0,2009,3,3,36,3.9269908169872414,3.9269908169872414,-35.0247822,117.883608,5
93,2009-03-04,14.3,20.2,0.0,4.6,9.4,2.0,31.0,61.0,63.0,1031.8,1028.8,8.0,4.0,16.5,19.0,0,0,2009,3,4,36,0.7853981633974483,5.890486225480862,-35.0247822,117.883608,5
94,2009-03-05,15.1,23.6,0.0,6.8,11.5,9.0,26.0,70.0,69.0,1027.7,1023.5,0.0,0.0,17.6,21.6,0,0,2009,3,5,36,0.7853981633974483,5.890486225480862,-35.0247822,117.883608,5
95,2009-03-06,14.7,21.4,0.0,5.4,9.1,0.0,26.0,91.0,70.0,1024.0,1023.6,4.0,7.0,17.3,19.9,0,0,2009,3,6,36,3.1624176048919987,5.105088062083414,-35.0247822,117.883608,5
96,2009-03-07,16.0,20.5,0.0,5.8,8.6,28.0,20.0,61.0,59.0,1025.6,1022.9,7.0,6.0,17.0,19.5,0,0,2009,3,7,36,0.0,0.0,-35.0247822,117.883608,5
97,2009-03-08,12.5,25.5,0.0,7.2,8.1,6.0,26.0,70.0,63.0,1020.5,1016.9,5.0,5.0,17.0,22.5,0,0,2009,3,8,36,0.3926990816987241,0.0,-35.0247822,117.883608,5
98,2009-03-09,16.2,24.0,0.0,4.2,9.4,2.0,15.0,73.0,68.0,1017.6,1015.3,3.0,6.0,19.0,23.5,0,0,2009,3,9,36,0.7853981633974483,5.890486225480862,-35.0247822,117.883608,5
99,2009-03-10,16.8,26.0,0.0,6.2,10.6,6.0,31.0,85.0,64.0,1016.3,1012.2,2.0,4.0,20.7,24.5,0,0,2009,3,10,36,0.3926990816987241,5.890486225480862,-35.0247822,117.883608,5
100,2009-03-11,16.2,22.4,0.0,8.0,3.0,19.0,24.0,84.0,87.0,1012.1,1014.7,5.0,8.0,21.0,18.3,0,0,2009,3,11,36,3.5342917352885173,3.9269908169872414,-35.0247822,117.883608,5
101,2009-03-12,16.5,19.8,0.0,4.0,4.1,2.0,11.0,57.0,53.0,1017.1,1015.4,8.0,6.0,17.0,18.6,0,0,2009,3,12,36,5.105088062083414,5.497787143782138,-35.0247822,117.883608,5
102,2009-03-13,13.4,19.0,0.4,3.6,8.4,19.0,26.0,66.0,51.0,1020.6,1022.5,7.0,1.0,16.8,18.0,0,0,2009,3,13,36,3.9269908169872414,4.319689898685965,-35.0247822,117.883608,5
103,2009-03-14,14.0,20.0,0.0,5.6,8.6,4.0,22.0,56.0,55.0,1025.5,1022.8,6.0,1.0,17.0,19.5,0,0,2009,3,14,36,0.7853981633974483,5.890486225480862,-35.0247822,117.883608,5
104,2009-03-15,15.5,23.6,0.0,7.4,9.2,11.0,41.0,71.0,70.0,1020.5,1016.1,2.0,3.0,17.5,21.5,0,0,2009,3,15,36,0.0,5.890486225480862,-35.0247822,117.883608,5
105,2009-03-16,17.0,36.4,0.0,7.2,10.9,0.0,20.0,58.0,70.0,1012.1,1007.9,2.0,0.0,21.4,24.8,0,0,2009,3,16,36,3.1624176048919987,5.497787143782138,-35.0247822,117.883608,5
106,2009-03-17,16.9,27.6,0.0,10.8,9.3,11.0,15.0,71.0,45.0,1009.6,1006.1,5.0,5.0,20.2,26.5,0,1,2009,3,17,36,1.9634954084936207,1.9634954084936207,-35.0247822,117.883608,5
107,2009-03-18,15.0,18.5,1.8,6.4,1.4,31.0,20.0,61.0,73.0,1014.9,1015.5,6.0,6.0,17.9,17.8,1,0,2009,3,18,36,3.5342917352885173,3.5342917352885173,-35.0247822,117.883608,5
108,2009-03-19,14.7,23.5,0.8,2.2,11.0,6.0,15.0,70.0,70.0,1015.9,1011.0,6.0,2.0,16.9,16.9,0,0,2009,3,19,36,2.356194490192345,3.5342917352885173,-35.0247822,117.883608,5
109,2009-03-20,14.5,21.6,0.0,6.2,3.9,19.0,31.0,62.0,79.0,1006.0,1007.5,1.0,8.0,18.4,17.2,0,1,2009,3,20,36,1.9634954084936207,3.5342917352885173,-35.0247822,117.883608,5
110,2009-03-21,12.6,19.5,4.6,3.4,3.0,6.0,7.0,83.0,59.0,1016.6,1016.2,6.0,6.0,14.5,17.4,1,0,2009,3,21,36,2.356194490192345,4.319689898685965,-35.0247822,117.883608,5
111,2009-03-22,9.1,21.2,0.2,2.4,10.5,4.0,24.0,87.0,62.0,1015.7,1012.9,1.0,6.0,12.4,20.3,0,0,2009,3,22,36,1.1780972450961724,3.9269908169872414,-35.0247822,117.883608,5
112,2009-03-23,12.3,20.3,0.0,4.0,6.3,6.0,26.0,89.0,72.0,1012.2,1011.8,7.0,5.0,15.0,19.9,0,0,2009,3,23,36,2.356194490192345,3.9269908169872414,-35.0247822,117.883608,5
113,2009-03-24,14.2,23.7,0.6,3.2,6.6,6.0,19.0,81.0,66.0,1015.1,1013.7,1.0,7.0,15.8,21.6,0,0,2009,3,24,36,1.9634954084936207,3.5342917352885173,-35.0247822,117.883608,5
114,2009-03-25,15.0,20.0,0.6,3.6,9.3,2.0,15.0,90.0,63.0,1020.2,1020.9,5.0,4.0,16.0,19.2,0,0,2009,3,25,36,2.356194490192345,3.9269908169872414,-35.0247822,117.883608,5
115,2009-03-26,11.8,22.8,0.0,4.0,11.1,6.0,26.0,83.0,62.0,1025.9,1021.9,4.0,0.0,14.5,21.5,0,0,2009,3,26,36,1.1780972450961724,5.890486225480862,-35.0247822,117.883608,5
116,2009-03-27,14.2,25.6,0.0,4.4,9.6,6.0,24.0,97.0,81.0,1018.8,1016.4,8.0,1.0,16.3,21.7,0,0,2009,3,27,36,3.141592653589793,3.5342917352885173,-35.0247822,117.883608,5
117,2009-03-28,15.7,20.5,0.0,6.2,1.4,20.0,28.0,79.0,79.0,1020.0,1021.8,6.0,8.0,19.7,17.6,0,0,2009,3,28,36,3.5342917352885173,9.42477796076938,-35.0247822,117.883608,5
118,2009-03-29,16.0,19.0,0.4,4.8,1.8,28.0,24.0,61.0,70.0,1026.6,1025.1,8.0,8.0,17.0,17.0,0,0,2009,3,29,36,5.890486225480862,5.890486225480862,-35.0247822,117.883608,5
