,Date,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegionNum
19,2008-12-22,13.3,30.1,0.0,33.0,7.0,17.0,72.0,33.0,19.5,29.0,0,0,2008,12,22,8,0.3926990816987241,1.5707963267948966,0.7853981633974483,-33.7511954,150.6941711,0
20,2008-12-23,16.3,29.4,0.0,35.0,17.0,7.0,82.0,47.0,21.2,29.4,0,0,2008,12,23,8,5.497787143782138,9.42477796076938,5.890486225480862,-33.7511954,150.6941711,0
21,2008-12-24,18.3,19.9,0.0,24.0,9.0,7.0,86.0,99.0,18.9,19.1,0,0,2008,12,24,8,9.42477796076938,5.105088062083414,3.5342917352885173,-33.7511954,150.6941711,0
22,2008-12-25,17.6,27.8,0.6,33.0,7.0,15.0,99.0,56.0,19.0,26.4,0,0,2008,12,25,8,0.7853981633974483,1.1780972450961724,1.1780972450961724,-33.7511954,150.6941711,0
23,2008-12-26,19.0,34.7,0.0,37.0,6.0,22.0,81.0,35.0,23.0,32.7,0,0,2008,12,26,8,0.0,2.356194490192345,0.7853981633974483,-33.7511954,150.6941711,0
24,2008-12-27,18.9,33.0,0.0,59.0,4.0,28.0,93.0,48.0,23.7,30.2,0,1,2008,12,27,8,3.141592653589793,2.356194490192345,1.1780972450961724,-33.7511954,150.6941711,0
25,2008-12-28,17.2,34.9,1.8,35.0,7.0,13.0,79.0,34.0,23.1,33.2,1,0,2008,12,28,8,0.7853981633974483,0.0,1.1780972450961724,-33.7511954,150.6941711,0
26,2008-12-29,18.9,29.3,0.0,35.0,7.0,19.0,79.0,68.0,25.0,24.3,0,1,2008,12,29,8,5.890486225480862,9.42477796076938,5.890486225480862,-33.7511954,150.6941711,0
27,2008-12-30,17.5,32.9,1.4,57.0,11.0,28.0,99.0,21.0,19.9,31.6,1,0,2008,12,30,8,2.748893571891069,1.9634954084936207,3.141592653589793,-33.7511954,150.6941711,0
28,2008-12-31,17.8,33.2,0.2,46.0,26.0,24.0,31.0,13.0,25.7,32.6,0,0,2008,12,31,8,2.748893571891069,3.141592653589793,2.748893571891069,-33.7511954,150.6941711,0
29,2009-01-01,14.8,35.4,0.0,59.0,9.0,28.0,65.0,17.0,21.9,34.4,0,0,2009,1,1,8,2.356194490192345,1.1780972450961724,2.748893571891069,-33.7511954,150.6941711,0
30,2009-01-02,16.9,28.5,0.0,43.0,7.0,28.0,65.0,50.0,20.4,23.5,0,0,2009,1,2,8,5.497787143782138,5.497787143782138,5.497787143782138,-33.7511954,150.6941711,0
31,2009-01-03,14.1,23.2,0.0,28.0,7.0,11.0,60.0,51.0,18.1,22.6,0,0,2009,1,3,8,0.3926990816987241,4.319689898685965,1.1780972450961724,-33.7511954,150.6941711,0
32,2009-01-04,18.1,31.7,0.0,39.0,11.0,17.0,74.0,43.0,21.2,29.6,0,0,2009,1,4,8,0.7853981633974483,2.356194490192345,1.1780972450961724,-33.7511954,150.6941711,0
33,2009-01-05,17.5,39.3,0.0,48.0,6.0,26.0,71.0,20.0,23.6,39.0,0,0,2009,1,5,8,2.356194490192345,5.105088062083414,3.141592653589793,-33.7511954,150.6941711,0
34,2009-01-06,16.5,41.6,0.0,46.0,6.0,11.0,71.0,9.0,24.2,40.0,0,0,2009,1,6,8,2.356194490192345,1.9634954084936207,0.7853981633974483,-33.7511954,150.6941711,0
35,2009-01-09,15.3,21.8,1.4,30.0,19.0,11.0,71.0,45.0,18.1,21.3,1,0,2009,1,9,8,0.0,9.42477796076938,0.3926990816987241,-33.7511954,150.6941711,0
36,2009-01-10,14.3,26.8,0.0,35.0,4.0,13.0,58.0,39.0,18.7,25.4,0,0,2009,1,10,8,0.7853981633974483,5.105088062083414,0.0,-33.7511954,150.6941711,0
37,2009-01-11,14.3,30.9,0.0,37.0,6.0,13.0,61.0,37.0,21.4,29.8,0,1,2009,1,11,8,0.3926990816987241,0.7853981633974483,0.0,-33.7511954,150.6941711,0
38,2009-01-12,17.4,29.9,8.4,37.0,6.0,24.0,100.0,55.0,20.2,27.3,1,0,2009,1,12,8,5.497787143782138,1.9634954084936207,5.497787143782138,-33.7511954,150.6941711,0
39,2009-01-13,19.9,32.9,0.0,37.0,7.0,15.0,89.0,39.0,22.1,31.1,0,0,2009,1,13,8,1.9634954084936207,0.3926990816987241,0.7853981633974483,-33.7511954,150.6941711,0
40,2009-01-14,18.1,40.0,0.0,37.0,6.0,13.0,70.0,19.0,24.0,39.6,0,0,2009,1,14,8,0.7853981633974483,5.497787143782138,0.7853981633974483,-33.7511954,150.6941711,0
41,2009-01-15,20.3,43.3,0.0,54.0,6.0,22.0,49.0,17.0,28.4,42.2,0,0,2009,1,15,8,5.497787143782138,9.42477796076938,3.141592653589793,-33.7511954,150.6941711,0
42,2009-01-16,17.1,37.2,1.0,54.0,2.0,9.0,55.0,30.0,21.5,32.4,0,0,2009,1,16,8,5.105088062083414,5.497787143782138,1.1780972450961724,-33.7511954,150.6941711,0
43,2009-01-17,16.6,23.2,0.2,31.0,11.0,13.0,62.0,42.0,17.9,21.7,0,0,2009,1,17,8,5.890486225480862,9.42477796076938,0.3926990816987241,-33.7511954,150.6941711,0
44,2009-01-18,12.9,29.3,0.0,35.0,4.0,9.0,56.0,30.0,19.5,28.3,0,0,2009,1,18,8,0.3926990816987241,1.1780972450961724,0.3926990816987241,-33.7511954,150.6941711,0
45,2009-01-19,13.8,33.6,0.0,39.0,7.0,17.0,65.0,23.0,19.8,32.5,0,0,2009,1,19,8,0.3926990816987241,1.5707963267948966,0.7853981633974483,-33.7511954,150.6941711,0
46,2009-01-20,17.1,39.5,0.0,44.0,6.0,17.0,59.0,18.0,23.8,39.2,0,0,2009,1,20,8,0.7853981633974483,5.105088062083414,2.356194490192345,-33.7511954,150.6941711,0
47,2009-01-21,22.8,39.8,0.0,57.0,9.0,9.0,64.0,25.0,26.0,37.5,0,1,2009,1,21,8,9.42477796076938,1.5707963267948966,2.748893571891069,-33.7511954,150.6941711,0
48,2009-01-22,21.7,33.5,2.2,54.0,17.0,35.0,67.0,41.0,26.4,32.2,1,0,2009,1,22,8,1.5707963267948966,1.5707963267948966,1.5707963267948966,-33.7511954,150.6941711,0
49,2009-01-23,22.2,36.8,0.2,43.0,6.0,20.0,61.0,35.0,28.8,36.6,0,0,2009,1,23,8,1.1780972450961724,5.497787143782138,0.3926990816987241,-33.7511954,150.6941711,0
50,2009-01-24,23.1,42.1,0.0,67.0,2.0,35.0,61.0,14.0,29.1,40.4,0,0,2009,1,24,8,2.748893571891069,1.9634954084936207,3.141592653589793,-33.7511954,150.6941711,0
51,2009-01-25,19.7,29.4,0.0,31.0,9.0,13.0,59.0,38.0,21.4,28.1,0,0,2009,1,25,8,5.105088062083414,5.105088062083414,5.497787143782138,-33.7511954,150.6941711,0
52,2009-01-26,20.7,31.4,0.0,39.0,7.0,17.0,64.0,53.0,23.0,29.6,0,1,2009,1,26,8,5.497787143782138,9.42477796076938,5.890486225480862,-33.7511954,150.6941711,0
53,2009-01-27,19.7,29.5,5.6,35.0,13.0,7.0,98.0,66.0,20.4,27.0,1,0,2009,1,27,8,0.3926990816987241,4.319689898685965,5.105088062083414,-33.7511954,150.6941711,0
54,2009-01-28,18.6,35.8,0.2,31.0,4.0,15.0,94.0,38.0,20.9,33.5,0,0,2009,1,28,8,0.3926990816987241,0.7853981633974483,0.7853981633974483,-33.7511954,150.6941711,0
55,2009-01-29,18.6,36.0,0.0,37.0,4.0,15.0,72.0,21.0,24.4,34.6,0,0,2009,1,29,8,5.890486225480862,2.748893571891069,1.1780972450961724,-33.7511954,150.6941711,0
56,2009-01-30,19.8,35.4,0.0,33.0,9.0,13.0,70.0,29.0,24.0,34.2,0,0,2009,1,30,8,0.0,5.105088062083414,1.1780972450961724,-33.7511954,150.6941711,0
57,2009-01-31,18.9,38.6,0.0,33.0,7.0,17.0,68.0,28.0,24.3,37.5,0,0,2009,1,31,8,0.3926990816987241,5.497787143782138,5.497787143782138,-33.7511954,150.6941711,0
58,2009-02-01,20.5,33.0,0.0,37.0,15.0,22.0,70.0,46.0,25.5,31.2,0,0,2009,2,1,8,5.497787143782138,5.105088062083414,5.497787143782138,-33.7511954,150.6941711,0
59,2009-02-02,21.2,35.4,0.0,39.0,4.0,13.0,71.0,36.0,25.4,34.1,0,0,2009,2,2,8,0.3926990816987241,0.7853981633974483,0.7853981633974483,-33.7511954,150.6941711,0
60,2009-02-03,21.8,34.8,0.2,39.0,9.0,28.0,68.0,34.0,24.7,32.6,0,0,2009,2,3,8,5.497787143782138,5.105088062083414,5.890486225480862,-33.7511954,150.6941711,0
61,2009-02-04,22.3,33.4,0.0,37.0,7.0,9.0,70.0,41.0,25.5,32.3,0,0,2009,2,4,8,1.5707963267948966,0.0,0.7853981633974483,-33.7511954,150.6941711,0
62,2009-02-05,21.0,39.5,0.0,31.0,7.0,13.0,74.0,27.0,25.3,38.5,0,0,2009,2,5,8,0.7853981633974483,5.497787143782138,0.3926990816987241,-33.7511954,150.6941711,0
63,2009-02-06,22.8,41.4,0.0,37.0,9.0,19.0,68.0,21.0,26.8,40.0,0,0,2009,2,6,8,0.7853981633974483,5.497787143782138,0.3926990816987241,-33.7511954,150.6941711,0
64,2009-02-07,22.3,42.3,0.0,46.0,4.0,28.0,54.0,17.0,27.1,40.7,0,0,2009,2,7,8,0.7853981633974483,5.497787143782138,0.7853981633974483,-33.7511954,150.6941711,0
65,2009-02-08,19.8,42.5,0.0,41.0,7.0,7.0,49.0,19.0,25.6,40.6,0,0,2009,2,8,8,5.105088062083414,5.497787143782138,1.1780972450961724,-33.7511954,150.6941711,0
66,2009-02-09,22.2,23.6,0.0,31.0,17.0,11.0,80.0,70.0,22.4,23.0,0,1,2009,2,9,8,9.42477796076938,9.42477796076938,5.890486225480862,-33.7511954,150.6941711,0
67,2009-02-10,17.4,20.2,3.2,22.0,9.0,7.0,93.0,96.0,18.5,19.3,1,1,2009,2,10,8,9.42477796076938,9.42477796076938,5.105088062083414,-33.7511954,150.6941711,0
68,2009-02-11,16.2,22.0,6.6,33.0,15.0,17.0,80.0,68.0,17.4,20.9,1,1,2009,2,11,8,9.42477796076938,4.319689898685965,3.9269908169872414,-33.7511954,150.6941711,0
69,2009-02-12,15.9,21.3,1.6,39.0,17.0,19.0,76.0,60.0,18.0,20.9,1,0,2009,2,12,8,5.890486225480862,4.319689898685965,5.105088062083414,-33.7511954,150.6941711,0
70,2009-02-13,15.6,19.8,0.8,48.0,7.0,26.0,86.0,72.0,16.6,19.1,0,1,2009,2,13,8,3.5342917352885173,4.319689898685965,5.497787143782138,-33.7511954,150.6941711,0
71,2009-02-14,15.1,18.2,28.0,30.0,19.0,13.0,94.0,97.0,15.8,17.5,1,1,2009,2,14,8,4.319689898685965,4.319689898685965,9.42477796076938,-33.7511954,150.6941711,0
72,2009-02-15,15.8,20.8,32.8,35.0,15.0,13.0,89.0,90.0,18.1,20.5,1,1,2009,2,15,8,5.497787143782138,4.319689898685965,4.319689898685965,-33.7511954,150.6941711,0
73,2009-02-16,16.5,23.7,34.6,54.0,15.0,26.0,94.0,63.0,18.4,22.9,1,1,2009,2,16,8,5.105088062083414,4.319689898685965,5.105088062083414,-33.7511954,150.6941711,0
74,2009-02-17,17.2,22.4,3.8,33.0,9.0,17.0,93.0,62.0,18.8,21.4,1,1,2009,2,17,8,5.497787143782138,4.319689898685965,5.105088062083414,-33.7511954,150.6941711,0
75,2009-02-18,17.7,27.5,10.8,35.0,20.0,13.0,80.0,60.0,20.9,25.0,1,0,2009,2,18,8,3.9269908169872414,3.9269908169872414,3.9269908169872414,-33.7511954,150.6941711,0
76,2009-02-19,18.6,29.0,0.0,39.0,11.0,17.0,77.0,71.0,22.6,25.5,0,0,2009,2,19,8,5.105088062083414,1.9634954084936207,1.5707963267948966,-33.7511954,150.6941711,0
77,2009-02-20,19.7,32.6,0.4,39.0,6.0,7.0,78.0,44.0,22.0,31.1,0,0,2009,2,20,8,5.105088062083414,1.5707963267948966,0.0,-33.7511954,150.6941711,0
78,2009-02-21,21.1,27.2,0.0,31.0,9.0,17.0,97.0,86.0,21.5,22.0,0,1,2009,2,21,8,5.497787143782138,4.319689898685965,5.890486225480862,-33.7511954,150.6941711,0
79,2009-02-22,18.7,26.8,10.0,26.0,11.0,9.0,81.0,59.0,20.4,25.4,1,0,2009,2,22,8,0.3926990816987241,4.319689898685965,0.3926990816987241,-33.7511954,150.6941711,0
80,2009-02-23,19.4,32.6,0.0,61.0,7.0,19.0,79.0,52.0,22.4,30.3,0,1,2009,2,23,8,3.9269908169872414,1.9634954084936207,0.7853981633974483,-33.7511954,150.6941711,0
81,2009-02-24,17.4,33.0,3.2,35.0,4.0,13.0,95.0,44.0,20.5,32.4,1,0,2009,2,24,8,5.890486225480862,1.5707963267948966,0.0,-33.7511954,150.6941711,0
82,2009-02-25,20.3,30.5,0.2,37.0,0.0,9.0,83.0,47.0,22.0,29.4,0,0,2009,2,25,8,5.497787143782138,3.8785758617093165,0.3926990816987241,-33.7511954,150.6941711,0
83,2009-02-26,18.7,26.2,0.0,33.0,13.0,7.0,73.0,46.0,20.4,25.4,0,0,2009,2,26,8,5.497787143782138,4.319689898685965,9.42477796076938,-33.7511954,150.6941711,0
84,2009-02-27,16.2,26.7,0.0,26.0,13.0,7.0,65.0,44.0,20.9,26.1,0,0,2009,2,27,8,5.497787143782138,9.42477796076938,0.7853981633974483,-33.7511954,150.6941711,0
85,2009-02-28,15.1,32.8,0.0,39.0,7.0,9.0,77.0,40.0,18.9,32.0,0,0,2009,2,28,8,4.319689898685965,5.105088062083414,1.1780972450961724,-33.7511954,150.6941711,0
86,2009-03-01,18.7,29.3,0.0,31.0,4.0,11.0,76.0,44.0,22.3,28.6,0,0,2009,3,1,8,0.0,1.1780972450961724,5.497787143782138,-33.7511954,150.6941711,0
87,2009-03-02,19.8,28.5,0.0,30.0,0.0,11.0,78.0,48.0,21.6,27.4,0,0,2009,3,2,8,0.7853981633974483,3.8785758617093165,0.7853981633974483,-33.7511954,150.6941711,0
88,2009-03-03,18.5,29.0,0.0,26.0,0.0,17.0,83.0,48.0,20.8,27.5,0,0,2009,3,3,8,1.5707963267948966,3.8785758617093165,1.1780972450961724,-33.7511954,150.6941711,0
89,2009-03-04,20.8,26.1,0.0,44.0,0.0,6.0,86.0,50.0,22.2,24.9,0,0,2009,3,4,8,2.748893571891069,3.8785758617093165,3.5342917352885173,-33.7511954,150.6941711,0
90,2009-03-05,11.8,26.8,0.0,31.0,11.0,20.0,45.0,27.0,19.0,25.6,0,0,2009,3,5,8,0.3926990816987241,3.9269908169872414,5.497787143782138,-33.7511954,150.6941711,0
91,2009-03-06,10.9,26.6,0.0,46.0,0.0,15.0,69.0,35.0,16.3,25.4,0,0,2009,3,6,8,5.497787143782138,3.8785758617093165,0.7853981633974483,-33.7511954,150.6941711,0
92,2009-03-07,14.2,30.0,0.0,24.0,2.0,9.0,71.0,41.0,19.3,28.2,0,0,2009,3,7,8,5.890486225480862,4.319689898685965,1.9634954084936207,-33.7511954,150.6941711,0
93,2009-03-08,18.8,25.1,0.0,39.0,13.0,28.0,77.0,67.0,20.9,23.4,0,1,2009,3,8,8,5.105088062083414,4.319689898685965,5.497787143782138,-33.7511954,150.6941711,0
94,2009-03-09,16.6,25.5,8.8,30.0,9.0,7.0,98.0,68.0,17.5,24.3,1,0,2009,3,9,8,4.319689898685965,4.319689898685965,5.890486225480862,-33.7511954,150.6941711,0
95,2009-03-10,17.5,26.1,1.0,35.0,7.0,19.0,89.0,56.0,20.6,24.4,0,0,2009,3,10,8,0.0,9.42477796076938,0.0,-33.7511954,150.6941711,0
96,2009-03-11,15.7,23.2,0.0,30.0,9.0,15.0,74.0,73.0,20.1,22.0,0,1,2009,3,11,8,5.105088062083414,4.319689898685965,5.497787143782138,-33.7511954,150.6941711,0
97,2009-03-12,16.9,27.2,2.8,28.0,0.0,11.0,97.0,58.0,19.2,27.0,1,0,2009,3,12,8,0.3926990816987241,3.8785758617093165,1.5707963267948966,-33.7511954,150.6941711,0
98,2009-03-13,18.0,26.7,0.0,24.0,4.0,4.0,91.0,69.0,19.9,25.0,0,1,2009,3,13,8,2.748893571891069,9.42477796076938,0.0,-33.7511954,150.6941711,0
99,2009-03-14,16.6,27.9,2.0,43.0,0.0,9.0,86.0,66.0,19.6,27.7,1,1,2009,3,14,8,2.356194490192345,3.8785758617093165,2.356194490192345,-33.7511954,150.6941711,0
100,2009-03-15,16.9,31.8,10.4,37.0,9.0,13.0,94.0,44.0,19.8,29.8,1,0,2009,3,15,8,5.105088062083414,9.42477796076938,1.1780972450961724,-33.7511954,150.6941711,0
101,2009-03-16,12.1,27.5,0.2,31.0,0.0,9.0,49.0,33.0,18.0,26.5,0,0,2009,3,16,8,2.748893571891069,3.8785758617093165,0.7853981633974483,-33.7511954,150.6941711,0
102,2009-03-17,11.5,26.4,0.0,28.0,6.0,7.0,62.0,32.0,17.7,25.8,0,0,2009,3,17,8,5.890486225480862,1.1780972450961724,0.7853981633974483,-33.7511954,150.6941711,0
103,2009-03-18,16.5,27.2,0.0,30.0,0.0,13.0,65.0,45.0,20.2,26.4,0,0,2009,3,18,8,1.1780972450961724,3.8785758617093165,1.5707963267948966,-33.7511954,150.6941711,0
104,2009-03-19,14.3,31.2,0.0,24.0,7.0,7.0,80.0,49.0,18.7,29.5,0,0,2009,3,19,8,0.3926990816987241,0.7853981633974483,1.1780972450961724,-33.7511954,150.6941711,0
105,2009-03-20,16.9,30.4,0.0,30.0,6.0,9.0,83.0,43.0,20.7,29.3,0,0,2009,3,20,8,0.7853981633974483,5.105088062083414,0.3926990816987241,-33.7511954,150.6941711,0
106,2009-03-21,16.5,28.1,0.0,30.0,7.0,15.0,87.0,58.0,20.0,27.4,0,0,2009,3,21,8,0.0,5.497787143782138,5.890486225480862,-33.7511954,150.6941711,0
107,2009-03-22,14.8,28.9,0.0,33.0,6.0,15.0,85.0,38.0,18.1,27.3,0,0,2009,3,22,8,5.105088062083414,1.1780972450961724,0.7853981633974483,-33.7511954,150.6941711,0
108,2009-03-23,15.9,30.7,0.0,31.0,11.0,9.0,89.0,37.0,19.0,30.3,0,0,2009,3,23,8,0.7853981633974483,9.42477796076938,0.3926990816987241,-33.7511954,150.6941711,0
109,2009-03-24,17.5,33.9,0.0,44.0,7.0,17.0,85.0,33.0,21.7,33.3,0,0,2009,3,24,8,1.5707963267948966,5.890486225480862,0.3926990816987241,-33.7511954,150.6941711,0
110,2009-03-25,17.1,34.2,0.0,63.0,4.0,9.0,86.0,42.0,20.7,32.8,0,1,2009,3,25,8,2.748893571891069,0.0,1.5707963267948966,-33.7511954,150.6941711,0
111,2009-03-26,18.9,30.5,18.2,26.0,0.0,7.0,88.0,59.0,21.4,28.9,1,0,2009,3,26,8,5.105088062083414,3.8785758617093165,1.9634954084936207,-33.7511954,150.6941711,0
112,2009-03-27,19.1,24.4,0.2,33.0,13.0,15.0,77.0,62.0,20.8,23.6,0,0,2009,3,27,8,5.105088062083414,4.319689898685965,5.890486225480862,-33.7511954,150.6941711,0
113,2009-03-28,14.4,25.9,0.0,24.0,6.0,11.0,85.0,46.0,18.1,24.8,0,0,2009,3,28,8,0.3926990816987241,1.9634954084936207,0.3926990816987241,-33.7511954,150.6941711,0
114,2009-03-29,12.8,27.2,0.0,28.0,0.0,11.0,79.0,39.0,17.0,26.5,0,0,2009,3,29,8,0.0,3.8785758617093165,0.7853981633974483,-33.7511954,150.6941711,0
115,2009-03-30,17.0,26.5,0.0,43.0,9.0,26.0,77.0,50.0,21.0,25.7,0,1,2009,3,30,8,5.497787143782138,9.42477796076938,5.497787143782138,-33.7511954,150.6941711,0
116,2009-03-31,18.6,21.2,2.4,54.0,13.0,13.0,95.0,93.0,19.5,19.1,1,1,2009,3,31,8,5.105088062083414,5.105088062083414,5.497787143782138,-33.7511954,150.6941711,0
117,2009-04-01,17.9,22.9,36.8,39.0,9.0,24.0,98.0,89.0,19.4,21.4,1,1,2009,4,1,8,5.497787143782138,5.105088062083414,5.497787143782138,-33.7511954,150.6941711,0
118,2009-04-02,19.0,23.6,27.8,24.0,7.0,13.0,98.0,87.0,20.6,21.9,1,1,2009,4,2,8,1.1780972450961724,4.319689898685965,1.1780972450961724,-33.7511954,150.6941711,0
119,2009-04-03,18.6,27.1,2.4,30.0,0.0,19.0,98.0,66.0,20.6,26.6,1,1,2009,4,3,8,0.7853981633974483,3.8785758617093165,1.1780972450961724,-33.7511954,150.6941711,0
120,2009-04-04,18.2,20.3,1.4,26.0,2.0,15.0,96.0,66.0,19.4,19.2,1,0,2009,4,4,8,5.497787143782138,2.748893571891069,5.890486225480862,-33.7511954,150.6941711,0
121,2009-04-05,16.8,23.9,0.0,30.0,6.0,19.0,66.0,60.0,20.1,23.6,0,0,2009,4,5,8,1.5707963267948966,1.1780972450961724,1.5707963267948966,-33.7511954,150.6941711,0
122,2009-04-06,13.5,22.2,0.0,31.0,22.0,13.0,72.0,59.0,18.1,20.1,0,0,2009,4,6,8,4.319689898685965,9.42477796076938,0.0,-33.7511954,150.6941711,0
123,2009-04-07,15.4,22.8,0.0,31.0,9.0,15.0,69.0,56.0,18.0,21.9,0,0,2009,4,7,8,5.105088062083414,4.319689898685965,5.890486225480862,-33.7511954,150.6941711,0
124,2009-04-08,12.1,23.7,0.0,28.0,2.0,9.0,68.0,45.0,18.4,23.0,0,0,2009,4,8,8,0.0,1.1780972450961724,0.3926990816987241,-33.7511954,150.6941711,0
125,2009-04-09,12.8,24.1,0.0,24.0,4.0,13.0,74.0,50.0,18.6,23.6,0,0,2009,4,9,8,1.1780972450961724,0.0,1.5707963267948966,-33.7511954,150.6941711,0
126,2009-04-10,11.9,24.8,0.0,15.0,0.0,2.0,97.0,57.0,15.7,24.1,0,0,2009,4,10,8,1.5707963267948966,3.8785758617093165,2.356194490192345,-33.7511954,150.6941711,0
127,2009-04-11,15.5,23.4,0.0,13.0,2.0,7.0,93.0,63.0,17.7,22.9,0,1,2009,4,11,8,1.1780972450961724,1.1780972450961724,1.5707963267948966,-33.7511954,150.6941711,0
128,2009-04-12,17.4,23.9,1.2,17.0,0.0,7.0,86.0,75.0,20.0,23.4,1,0,2009,4,12,8,1.5707963267948966,3.8785758617093165,2.356194490192345,-33.7511954,150.6941711,0
129,2009-04-13,18.6,22.9,0.2,26.0,7.0,13.0,84.0,84.0,20.7,20.7,0,1,2009,4,13,8,3.9269908169872414,9.42477796076938,4.319689898685965,-33.7511954,150.6941711,0
130,2009-04-14,16.1,26.8,6.2,30.0,2.0,7.0,82.0,58.0,20.1,26.2,1,0,2009,4,14,8,9.42477796076938,5.890486225480862,1.5707963267948966,-33.7511954,150.6941711,0
131,2009-04-15,13.1,29.1,0.0,54.0,2.0,24.0,76.0,26.0,19.6,28.6,0,0,2009,4,15,8,3.5342917352885173,5.497787143782138,2.748893571891069,-33.7511954,150.6941711,0
132,2009-04-16,11.7,24.5,0.2,22.0,6.0,7.0,54.0,39.0,18.0,24.3,0,0,2009,4,16,8,5.890486225480862,0.3926990816987241,1.1780972450961724,-33.7511954,150.6941711,0
133,2009-04-17,9.9,23.9,0.0,28.0,4.0,11.0,74.0,37.0,15.6,23.5,0,0,2009,4,17,8,5.497787143782138,4.319689898685965,5.497787143782138,-33.7511954,150.6941711,0
