,Unnamed: 0,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,year,month,day,LocationNum,WindGustDirNum,WindDir9amNum,WindDir3pmNum,Latitude,Longitude,CodeRegion,NonMes,CodeRegionNum,NonMesNum
77870,77870,2009-04-12,Dartmoor,5.4,22.4,0.0,2.0,9.4,SSW,28.0,,WSW,0.0,9.0,99.0,46.0,1023.6,1021.1,8.6,21.4,0,0,2009,4,12,27,4.319689898685965,,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77871,77871,2009-04-13,Dartmoor,3.4,27.4,0.2,2.6,9.8,NW,35.0,ENE,NW,7.0,20.0,85.0,24.0,1021.5,1016.6,11.2,26.7,0,0,2009,4,13,27,2.356194490192345,0.3926990816987241,2.356194490192345,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77872,77872,2009-04-14,Dartmoor,7.3,21.8,0.0,4.4,8.5,W,48.0,NW,W,15.0,28.0,85.0,50.0,1013.5,1010.3,14.4,20.7,0,1,2009,4,14,27,3.141592653589793,2.356194490192345,3.141592653589793,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77873,77873,2009-04-15,Dartmoor,8.5,15.3,5.4,4.8,7.3,W,87.0,W,W,31.0,22.0,71.0,59.0,1010.1,1011.9,11.1,13.8,1,0,2009,4,15,27,3.141592653589793,3.141592653589793,3.141592653589793,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77874,77874,2009-04-16,Dartmoor,9.2,18.8,0.2,2.2,8.1,NNW,54.0,NNW,W,26.0,31.0,79.0,72.0,1010.2,1009.9,13.2,16.8,0,1,2009,4,16,27,1.9634954084936207,1.9634954084936207,3.141592653589793,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77875,77875,2009-04-17,Dartmoor,10.0,18.9,1.2,3.0,7.2,W,35.0,NNW,WSW,13.0,17.0,98.0,72.0,1017.1,1017.6,13.4,18.7,1,1,2009,4,17,27,3.141592653589793,1.9634954084936207,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77876,77876,2009-04-18,Dartmoor,9.2,18.7,1.6,1.8,3.7,SW,31.0,,SSW,0.0,17.0,99.0,77.0,1024.3,1023.9,14.4,17.3,1,0,2009,4,18,27,3.9269908169872414,,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77877,77877,2009-04-19,Dartmoor,11.2,17.0,0.2,1.4,4.1,SE,37.0,SE,SSE,11.0,24.0,89.0,72.0,1026.5,1024.1,14.0,15.7,0,0,2009,4,19,27,5.497787143782138,5.497787143782138,5.105088062083414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77878,77878,2009-04-20,Dartmoor,6.8,22.5,0.0,2.4,8.7,ESE,24.0,E,NW,15.0,7.0,83.0,43.0,1022.8,1019.6,13.7,22.2,0,0,2009,4,20,27,5.890486225480862,0.0,2.356194490192345,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77879,77879,2009-04-21,Dartmoor,4.5,24.5,0.2,2.2,6.1,NNW,26.0,,SW,0.0,11.0,91.0,36.0,1022.8,1020.2,10.7,24.1,0,0,2009,4,21,27,1.9634954084936207,,3.9269908169872414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77880,77880,2009-04-22,Dartmoor,4.7,24.5,0.0,2.6,9.9,NNE,35.0,,N,0.0,17.0,74.0,33.0,1023.0,1019.1,12.4,24.1,0,0,2009,4,22,27,1.1780972450961724,,1.5707963267948966,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77881,77881,2009-04-23,Dartmoor,11.1,23.4,0.0,5.4,0.4,NNE,52.0,NNE,NNE,20.0,26.0,50.0,36.0,1013.4,1008.0,17.6,22.9,0,1,2009,4,23,27,1.1780972450961724,1.1780972450961724,1.1780972450961724,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77882,77882,2009-04-24,Dartmoor,14.7,18.6,3.2,3.4,1.6,N,43.0,N,SW,17.0,20.0,99.0,98.0,998.8,997.4,15.2,15.0,1,1,2009,4,24,27,1.5707963267948966,1.5707963267948966,3.9269908169872414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77883,77883,2009-04-25,Dartmoor,10.8,16.4,20.6,0.6,5.1,NW,72.0,N,W,19.0,35.0,96.0,83.0,998.5,991.5,12.1,12.9,1,1,2009,4,25,27,2.356194490192345,1.5707963267948966,3.141592653589793,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77884,77884,2009-04-26,Dartmoor,7.0,13.3,16.8,3.6,6.4,W,91.0,W,WSW,33.0,26.0,72.0,87.0,999.4,1004.2,10.7,10.7,1,1,2009,4,26,27,3.141592653589793,3.141592653589793,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77885,77885,2009-04-27,Dartmoor,5.7,12.6,6.8,1.8,0.8,SW,31.0,NNE,SSW,9.0,13.0,96.0,95.0,1011.3,1011.5,8.3,10.9,1,1,2009,4,27,27,3.9269908169872414,1.1780972450961724,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77886,77886,2009-04-28,Dartmoor,3.4,12.8,1.8,1.4,3.4,SSE,31.0,NE,SW,2.0,19.0,92.0,63.0,1022.5,1022.6,7.3,11.6,1,0,2009,4,28,27,5.105088062083414,0.7853981633974483,3.9269908169872414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77887,77887,2009-04-29,Dartmoor,3.0,14.6,0.0,1.6,7.0,NE,15.0,,ENE,0.0,6.0,94.0,50.0,1024.2,1022.2,5.9,14.0,0,0,2009,4,29,27,0.7853981633974483,,0.3926990816987241,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77888,77888,2009-04-30,Dartmoor,-1.1,17.6,0.0,1.4,8.7,NW,41.0,NNE,NNW,13.0,22.0,85.0,57.0,1022.6,1018.6,6.5,17.1,0,1,2009,4,30,27,2.356194490192345,1.1780972450961724,1.9634954084936207,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77889,77889,2009-05-01,Dartmoor,6.5,15.7,2.2,2.4,4.6,NNW,31.0,,SW,0.0,15.0,99.0,66.0,1022.9,1022.7,11.3,14.8,1,0,2009,5,1,27,1.9634954084936207,,3.9269908169872414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77890,77890,2009-05-02,Dartmoor,3.2,17.8,0.2,1.6,6.9,WSW,24.0,NE,WSW,7.0,11.0,93.0,74.0,1028.3,1026.4,8.0,15.7,0,0,2009,5,2,27,3.5342917352885173,0.7853981633974483,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77891,77891,2009-05-03,Dartmoor,4.4,16.6,0.4,0.8,5.0,SW,20.0,,WNW,0.0,11.0,99.0,76.0,1029.4,1027.6,8.8,16.4,0,0,2009,5,3,27,3.9269908169872414,,2.748893571891069,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77892,77892,2009-05-04,Dartmoor,8.0,16.4,0.6,1.0,4.1,S,31.0,,SSW,0.0,15.0,99.0,78.0,1031.9,1031.0,12.3,16.0,0,0,2009,5,4,27,9.42477796076938,,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77893,77893,2009-05-05,Dartmoor,3.3,16.7,1.0,1.2,5.9,S,20.0,,S,0.0,11.0,99.0,68.0,1033.0,1029.8,7.0,16.2,0,0,2009,5,5,27,9.42477796076938,,9.42477796076938,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77894,77894,2009-05-06,Dartmoor,4.9,16.2,0.0,1.0,2.9,SW,31.0,ENE,SSW,2.0,22.0,,71.0,1029.9,1027.5,,15.6,0,0,2009,5,6,27,3.9269908169872414,0.3926990816987241,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77895,77895,2009-05-07,Dartmoor,7.8,16.6,0.6,0.8,3.5,SSW,41.0,WNW,S,11.0,17.0,99.0,83.0,1029.7,1029.0,12.5,15.8,0,1,2009,5,7,27,4.319689898685965,2.748893571891069,9.42477796076938,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77896,77896,2009-05-08,Dartmoor,6.9,15.2,1.2,0.8,1.3,SSW,26.0,,SSW,0.0,17.0,99.0,80.0,1033.2,1030.8,9.4,14.2,1,0,2009,5,8,27,4.319689898685965,,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77897,77897,2009-05-09,Dartmoor,4.8,15.4,0.2,0.8,1.8,SSW,30.0,,S,0.0,15.0,99.0,81.0,1029.8,1027.1,10.2,15.0,0,0,2009,5,9,27,4.319689898685965,,9.42477796076938,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77898,77898,2009-05-10,Dartmoor,10.1,14.6,0.2,0.8,0.9,SSE,22.0,SE,S,9.0,11.0,93.0,85.0,1027.3,1024.8,12.2,14.1,0,0,2009,5,10,27,5.105088062083414,5.497787143782138,9.42477796076938,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77899,77899,2009-05-11,Dartmoor,2.9,16.9,0.2,0.6,4.0,S,20.0,,S,0.0,15.0,99.0,69.0,1025.5,1023.7,7.9,15.7,0,0,2009,5,11,27,9.42477796076938,,9.42477796076938,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77900,77900,2009-05-12,Dartmoor,4.0,16.3,0.0,1.2,4.6,SW,24.0,ESE,WNW,4.0,15.0,98.0,68.0,1024.1,1020.7,8.0,16.1,0,1,2009,5,12,27,3.9269908169872414,5.890486225480862,2.748893571891069,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77901,77901,2009-05-13,Dartmoor,8.0,15.9,4.0,0.8,4.6,WNW,44.0,WNW,WSW,15.0,20.0,92.0,79.0,1017.9,1015.0,11.7,14.0,1,1,2009,5,13,27,2.748893571891069,2.748893571891069,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77902,77902,2009-05-14,Dartmoor,9.5,15.3,2.8,1.4,4.4,WNW,48.0,NNW,WNW,15.0,26.0,96.0,88.0,1013.3,1011.2,11.8,13.8,1,0,2009,5,14,27,2.748893571891069,1.9634954084936207,2.748893571891069,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77903,77903,2009-05-15,Dartmoor,11.8,16.2,1.0,1.4,0.5,WNW,59.0,WNW,WNW,31.0,30.0,90.0,90.0,1009.9,1008.1,14.7,14.5,0,1,2009,5,15,27,2.748893571891069,2.748893571891069,2.748893571891069,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77904,77904,2009-05-16,Dartmoor,11.5,14.5,1.8,1.0,1.7,SW,46.0,WSW,WSW,24.0,17.0,79.0,72.0,1014.7,1016.8,12.2,13.6,1,1,2009,5,16,27,3.9269908169872414,3.5342917352885173,3.5342917352885173,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77905,77905,2009-05-17,Dartmoor,10.6,16.1,1.4,1.2,1.5,W,30.0,NW,SSW,11.0,15.0,96.0,84.0,1022.7,1021.1,11.3,15.5,1,1,2009,5,17,27,3.141592653589793,2.356194490192345,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77906,77906,2009-05-18,Dartmoor,10.4,13.2,1.2,0.8,0.1,ENE,19.0,,SSE,0.0,7.0,97.0,82.0,1025.0,1022.1,11.1,12.9,1,0,2009,5,18,27,0.3926990816987241,,5.105088062083414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77907,77907,2009-05-19,Dartmoor,5.3,19.3,0.0,0.4,7.0,E,20.0,E,NNE,9.0,9.0,98.0,63.0,1019.9,1017.6,8.7,18.4,0,0,2009,5,19,27,0.0,0.0,1.1780972450961724,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77908,77908,2009-05-20,Dartmoor,8.6,20.4,0.0,0.8,4.7,S,24.0,,SSE,0.0,7.0,94.0,78.0,1021.8,1021.2,11.1,18.8,0,0,2009,5,20,27,9.42477796076938,,5.105088062083414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77909,77909,2009-05-21,Dartmoor,7.0,21.0,0.0,0.8,9.5,ESE,24.0,,SE,0.0,11.0,94.0,57.0,1025.2,1023.1,11.3,20.3,0,0,2009,5,21,27,5.890486225480862,,5.497787143782138,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77910,77910,2009-05-22,Dartmoor,5.4,20.4,0.2,1.6,9.4,N,41.0,NE,NNE,9.0,17.0,96.0,47.0,1023.0,1018.5,8.9,20.3,0,0,2009,5,22,27,1.5707963267948966,0.7853981633974483,1.1780972450961724,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77911,77911,2009-05-23,Dartmoor,8.8,20.0,0.0,4.0,3.5,NNE,46.0,NNE,NNE,24.0,24.0,69.0,61.0,1016.5,1013.3,15.3,19.0,0,0,2009,5,23,27,1.1780972450961724,1.1780972450961724,1.1780972450961724,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77912,77912,2009-05-24,Dartmoor,15.1,19.2,0.0,2.8,0.0,NE,44.0,NNE,NNE,24.0,15.0,71.0,68.0,1016.9,1015.5,16.6,19.0,0,1,2009,5,24,27,0.7853981633974483,1.1780972450961724,1.1780972450961724,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77913,77913,2009-05-25,Dartmoor,13.6,15.7,2.8,1.2,0.6,N,35.0,NE,NW,7.0,13.0,98.0,96.0,1015.0,1013.7,13.8,15.1,1,1,2009,5,25,27,1.5707963267948966,0.7853981633974483,2.356194490192345,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77914,77914,2009-05-26,Dartmoor,5.6,15.2,3.0,0.6,4.5,NW,31.0,N,SW,9.0,17.0,99.0,78.0,1021.6,1020.8,8.6,14.2,1,1,2009,5,26,27,2.356194490192345,1.5707963267948966,3.9269908169872414,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77915,77915,2009-05-27,Dartmoor,6.7,13.3,5.0,1.0,3.9,S,30.0,,SSW,0.0,17.0,99.0,85.0,1024.1,1023.7,7.9,12.3,1,1,2009,5,27,27,9.42477796076938,,4.319689898685965,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77916,77916,2009-05-28,Dartmoor,7.8,14.6,1.8,0.6,5.5,SSE,37.0,SSE,S,17.0,19.0,82.0,92.0,1027.6,1027.6,10.3,10.7,1,0,2009,5,28,27,5.105088062083414,5.105088062083414,9.42477796076938,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
77917,77917,2009-05-29,Dartmoor,6.7,16.0,0.6,0.8,4.9,SE,31.0,SSE,SE,11.0,13.0,88.0,78.0,1029.5,1028.4,11.4,13.4,0,0,2009,5,29,27,5.497787143782138,5.105088062083414,5.497787143782138,-37.9225444,141.2766551,VIC,Cloud9am_Cloud3pm,2,6
